zip_code,city,street,house_no,location_type,location_name,id,closure_periods,opening_hours,latitude,longitude
12053,Berlin,Boddinstr.,48,RETAIL_OUTLET,dies & das,4335897,[],Mo: 08:00-20:00; Tu: 08:00-20:00; We: 08:00-20:00; Th: 08:00-20:00; Fr: 08:00-20:00; Sa: 08:00-16:00,52.4801574,13.4292887
12435,Berlin,Martin-Hoffmann-Str.,16,RETAIL_OUTLET,MUCA Kiosk,4337662,[],Mo: 07:00-19:00; Tu: 07:00-19:00; We: 07:00-19:00; Th: 07:00-19:00; Fr: 07:00-19:00; Sa: 09:00-14:00,52.4945075,13.459708
10827,Berlin,Hauptstr.,152,RETAIL_OUTLET,,4138988,[],Mo: 07:00-20:00; Tu: 07:00-20:00; We: 07:00-20:00; Th: 07:00-20:00; Fr: 07:00-20:00; Sa: 07:00-20:00,52.4884464,13.3588436
10777,Berlin,Motzstr.,34,RETAIL_OUTLET,Spätkauf Kiosk,4343505,[],Mo: 08:00-23:30; Tu: 08:00-23:30; We: 08:00-23:30; Th: 08:00-23:30; Fr: 08:00-23:30; Sa: 08:30-23:30,52.4974543,13.3467292
13086,Berlin,Langhansstr.,7,RETAIL_OUTLET,Der Kiosk,4326270,[],Mo: 07:00-20:00; Tu: 07:00-20:00; We: 07:00-20:00; Th: 07:00-20:00; Fr: 07:00-20:00; Sa: 10:00-20:00,52.549226,13.4489987
13353,Berlin,Torfstr.,19,RETAIL_OUTLET,Presse Shop,4297750,[],Mo: 07:00-20:00; Tu: 07:00-20:00; We: 07:00-20:00; Th: 07:00-20:00; Fr: 07:00-20:00; Sa: 08:00-20:00,52.5413666,13.350146
10369,Berlin,Landsberger Allee,171,RETAIL_OUTLET,Berliner Shop,4323154,[],Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 09:00-12:00,52.5317729,13.4693058
10551,Berlin,Jonasstr.,4,RETAIL_OUTLET,Kiosk,4312472,[],Mo: 14:45-22:00; Tu: 09:00-14:00; We: 09:00-14:00; Th: 14:45-22:00; Fr: 09:00-14:00; Sa: 14:45-18:00,52.5272181,13.3394029
12043,Berlin,Erkstr.,5,RETAIL_OUTLET,Getränke-Tabakwaren-Zeitschriften,4314016,[],Mo: 10:00-19:00; Tu: 10:00-19:00; We: 10:00-19:00; Th: 10:00-19:00; Fr: 10:00-19:00; Sa: 10:00-16:00,52.4810075,13.4370457
10247,Berlin,Frankfurter Allee,104,RETAIL_OUTLET,BERLINMAN,4341745,[],Mo: 08:00-19:00; Tu: 08:00-19:00; We: 08:00-19:00; Th: 08:00-19:00; Fr: 08:00-19:00; Sa: 08:00-16:00,52.5135552,13.473898
